Jawaban (Indo),Answers (Eng),perceived ease of use,performance expectancy,effort expectancy,system quality,perceived usefulness,resistance to change,facilitating conditions,technological incapability,functionality,cost
"Palingnya chat sama dokter, sama informasi di Halodok Lebih seringnya chat ke dokter langsung","Most chat with doctors, same information in Halodok More often chat with doctors directly",0,0,0,0,0,0,0,0,2,0
Paling itu aja sih paling ongkir sama vitamin yang tidak ke-cover harus bayar,"At the very least, it's the same as the vitamin that you don't have to pay for.",0,0,0,0,0,0,0,0,0,1
"Percaya diri, Iya karena enak gampang aja gitu ya, kan dulu pandemi ya","Be confident, yes, because it's delicious, it's easy, right, it used to be a pandemic?",0,0,2,0,0,0,0,0,0,0
"Maksudnya ada rasa was-was kan buat ke dokter, nah karena ada Halodok Jadi lebih gampang lah buat tanya-tanya keperluan apa, dijawab juga kan cepat sama dokternya","It means that there is a sense of concern to go to the doctor, now because there is Halodok So it is easier to ask what needs it is, it is also answered quickly with the doctor",0,0,2,0,0,0,0,0,0,0
"Lebih efisien, terus saya juga lebih informasi obat tentang obat, misalnya kayak gitu ke dokternya juga lebih gampang ya Bisa lebih tanya banyak, dan di rumah pada saat itu kan karena pandemi ya","It's more efficient, and I also have more information about medicines, for example, it's easier to go to the doctor, you can ask a lot of questions, and at home at that time because of the pandemic.",0,0,2,0,2,0,0,0,0,0
"Buat jaga-jaga juga, biar lebih efisien waktu aja sih waktu itu","Just in case, so that it is more efficient at that time",0,0,0,0,2,0,0,0,0,0
"Ya, dari lihat dari teman-teman  pakai , suami juga kebetulan pakai juga, jadi saya juga download","Yes, from the look of my friends, my husband also happens to use it too, so I also downloaded it",0,0,0,0,0,1,0,0,0,0
"Iya, sangat, sangat membantu","Yes, very, very helpful",0,0,0,0,2,0,0,0,0,0
"Ya kan mereka dokter ya, maksudnya bisa dipercaya lah insyaAllah gitu, Dan kalau diajak nanya, ini dok, ini gini, oh iya Bu, ini mereka respon dengan baik gitu, Mungkin itu dipercaya.","Yes, they are doctors, I mean they can be trusted, God willing, and if you ask me, this is a doc, this is this, oh yes ma'am, this is how they respond well, maybe it's trusted.",0,0,0,0,0,0,2,0,0,0
"Kayak daftar cepat Jadi kalau misalkan nanti itu kita tuh udah dapet nomernya, tidak perlu dipergi ke rumah sakitnya atau ke puskesmasnya jadi lebih praktis","So if we have a quick list later, we already have the number, there is no need to go to the hospital or to the health center, so it will be more practical",0,2,2,0,0,0,0,0,0,0
